Length of URL,Has IP address,Shortening Service,Having @ Symbol,Double Slash Redirecting,Prefix-Suffix,CTLD,HTTPS in Domain,Sensitive Words,Has Tilde,Has Port,PhishID,frequency_of_a_tags,frequency_of_alltags,presence_of_iframes,presence_of_popups,right_click_disabling,checking_sfh,request_url,url-of-anchor,links_in_meta_img,check_hidden_content,Result
1,1,1,1,1,-1,0,-1,1,1,-1,8246645,1,1,1,1,1,1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246644,1,1,1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246643,1,1,1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246641,-1,1,1,1,1,-1,1,-1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246640,1,1,1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246639,1,1,1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246636,1,0,1,1,1,-1,-1,1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246635,1,0,1,1,1,-1,-1,1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246634,1,1,1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246633,1,1,1,1,1,-1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246630,1,1,1,1,1,-1,1,1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246629,1,1,1,1,1,-1,1,1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246628,1,1,1,1,1,1,1,1,-1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246627,1,1,1,1,1,1,1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246625,-1,1,1,1,1,-1,1,-1,-1,1,-1
1,1,1,1,1,-1,1,-1,-1,1,-1,8246624,1,0,1,1,1,-1,-1,-1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246623,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246599,1,0,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246591,1,0,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246589,1,0,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246588,1,0,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246587,1,0,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246586,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246585,1,0,1,1,1,-1,-1,1,-1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246584,1,0,1,1,1,-1,-1,-1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246583,1,0,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246578,1,0,1,1,1,-1,-1,-1,-1,-1,-1
0,1,1,1,1,-1,1,-1,1,1,-1,8246577,1,0,1,1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246575,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246572,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246570,1,0,1,1,1,-1,-1,-1,-1,-1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246569,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246568,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246567,1,1,1,1,1,1,1,1,-1,1,-1
0,1,1,1,1,-1,1,-1,1,1,-1,8246566,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246564,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246563,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246562,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246561,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246559,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246558,1,0,1,1,1,-1,-1,-1,-1,-1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246557,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246556,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246555,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246554,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246553,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246552,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246551,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246549,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246548,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246546,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246545,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246544,1,1,1,1,1,-1,-1,1,-1,-1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246543,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246542,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246541,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246540,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246539,1,1,1,1,1,-1,-1,1,-1,-1,-1
0,1,1,1,1,-1,1,-1,1,1,-1,8246538,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246537,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246536,1,1,1,1,1,-1,-1,1,-1,-1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246535,1,1,1,1,1,-1,-1,1,-1,-1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246534,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246533,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246532,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246530,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246528,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246527,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246526,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246524,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246522,1,1,1,1,1,-1,-1,1,-1,-1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246517,1,1,1,1,1,1,1,1,1,1,-1
0,1,1,1,1,-1,1,-1,1,1,-1,8246516,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246513,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246511,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246510,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246509,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246508,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246507,1,1,1,1,1,1,1,1,1,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246506,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246504,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246503,1,1,1,1,1,1,1,1,1,1,-1
0,1,1,1,1,-1,1,-1,1,1,-1,8246502,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246501,1,0,1,1,1,-1,-1,-1,-1,-1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246500,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246498,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246497,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246496,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246495,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246494,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246493,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246492,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246491,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246490,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246489,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246488,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246487,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246486,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246485,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246484,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246483,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246482,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246481,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246480,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246479,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246477,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246476,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246475,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246474,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246473,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246472,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246471,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246470,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246469,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246468,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246467,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246465,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246464,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246458,1,1,1,1,1,1,1,1,-1,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246457,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246455,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246454,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246453,-1,1,1,1,1,-1,1,-1,1,-1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246450,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246449,-1,1,1,1,1,-1,1,-1,1,-1,-1
0,1,1,1,1,-1,1,-1,1,1,-1,8246448,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246447,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246446,1,1,1,1,1,1,1,1,-1,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246445,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246444,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246443,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246442,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246441,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246440,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246438,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246437,1,1,1,1,1,1,1,1,1,1,-1
0,1,1,1,1,-1,1,-1,1,1,-1,8246436,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246435,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246434,1,1,1,1,1,1,1,1,1,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246433,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246432,1,1,1,1,1,1,1,1,1,1,-1
0,1,1,1,1,-1,1,-1,1,1,-1,8246431,1,1,1,1,1,1,1,1,1,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246430,1,1,1,1,1,1,1,1,1,1,-1
0,1,1,1,1,1,1,-1,1,1,-1,8246429,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246428,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246427,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246426,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246425,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246424,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246423,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246422,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246421,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246420,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246419,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246418,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246417,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246416,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246415,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246414,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246413,1,1,1,1,1,1,1,1,1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246411,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246410,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246409,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246408,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,1,-1,1,1,-1,8246407,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246406,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246405,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246404,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246403,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246402,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,-1,-1,-1,1,1,-1,8246401,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246400,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,-1,-1,1,1,-1,8246399,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,0,-1,1,1,-1,8246398,1,1,1,1,1,1,1,1,-1,1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246397,1,1,1,1,1,1,1,1,-1,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246395,1,1,1,1,1,-1,-1,1,0,-1,-1
1,1,1,1,1,1,0,-1,-1,1,-1,8246394,1,1,1,1,1,-1,1,1,-1,-1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246393,-1,0,1,1,1,-1,-1,-1,0,1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246392,-1,1,1,1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246391,1,0,1,1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,-1,1,1,-1,8246390,1,0,1,1,1,-1,-1,-1,-1,-1,-1
0,1,1,1,1,-1,0,-1,1,1,-1,8246389,1,0,1,1,1,-1,-1,1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246387,-1,0,1,1,1,-1,-1,-1,1,1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246386,1,1,1,1,1,-1,-1,1,-1,-1,-1
1,1,1,1,1,-1,0,-1,1,1,-1,8246385,1,1,1,1,1,-1,-1,1,-1,-1,-1
1,1,1,1,1,-1,1,-1,1,1,-1,8246384,-1,1,1,1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,-1,-1,1,1,-1,8246381,-1,1,1,1,1,-1,-1,-1,-1,1,-1
-1,1,1,1,1,1,1,-1,-1,1,-1,8246380,1,0,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,1,1,1,1,1,-1,1,1,-1,8246379,1,0,1,1,1,-1,-1,-1,-1,-1,-1
0,1,1,1,1,1,1,-1,-1,1,-1,8246378,1,0,1,1,1,-1,-1,1,-1,-1,-1
1,1,-1,1,1,1,1,-1,1,1,-1,8246377,-1,0,1,1,1,-1,-1,-1,-1,-1,-1
1,1,-1,1,1,1,1,-1,1,1,-1,8246376,-1,0,1,1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,0,-1,1,1,-1,8246375,-1,0,1,1,1,-1,-1,-1,0,-1,-1
0,1,1,1,1,-1,0,-1,1,1,-1,8246374,1,1,1,1,1,1,1,1,-1,-1,-1
