PhishID, PhishURL                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Result                                                                                                                                                                                                                                                                                                                                                                                                                            , Length of URL, Has IP address, Shortening Service, Having @ Symbol, Double Slash Redirecting, Prefix-Suffix, Has Sub-domain, SSL Final State, Port, Domain Length,
8196284, https://rmcsport1.sport.blog/                                                                                                                                                                                                                                                                                                                                                                                                                                           , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 29           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 20           ,
8196283, https://www.rmcsport1.sport.blog/                                                                                                                                                                                                                                                                                                                                                                                                                                       , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 33           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 24           ,
8196282, https://sfr-collection.life/                                                                                                                                                                                                                                                                                                                                                                                                                                            , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 28           , -1            , -1                , -1             , 1                       , 1            , 0             , 1              , -1  , 19           ,
8196281, https://www.sfr-activation.com/                                                                                                                                                                                                                                                                                                                                                                                                                                         , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 31           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 22           ,
8196279, http://5axta.sa.com                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 19           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 12           ,
8196270, https://abnehmtricks-abnehmtipps.de/api/                                                                                                                                                                                                                                                                                                                                                                                                                                , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 40           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 27           ,
8196269, https://appurl.io/t_Fau0f1qF                                                                                                                                                                                                                                                                                                                                                                                                                                            , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 28           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 9            ,
8196266, https://royal-uk-package.co.uk/                                                                                                                                                                                                                                                                                                                                                                                                                                         , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 31           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 22           ,
8196260, https://votrevocalemessagerie.hubside.fr/                                                                                                                                                                                                                                                                                                                                                                                                                               , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 41           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 32           ,
8196254, https://urlz.fr/msxI                                                                                                                                                                                                                                                                                                                                                                                                                                                    , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 20           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 7            ,
8196234, http://url.dyhs.kr/VBQo                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 23           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 11           ,
8196227, https://url.dyhs.kr/VBQo                                                                                                                                                                                                                                                                                                                                                                                                                                                , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 24           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 11           ,
8196220, https://segurosmetlifemexico.com.mx/                                                                                                                                                                                                                                                                                                                                                                                                                                    , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 36           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 27           ,
8196177, https://assure.supportvigilance.fr/PortailAS/appmanager/PortailAS/assure                                                                                                                                                                                                                                                                                                                                                                                                , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 72           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 26           ,
8196176, https://identgouv.fr/impots.php                                                                                                                                                                                                                                                                                                                                                                                                                                         , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 31           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 12           ,
8196175, https://cfspart.vigilancesupport.fr/LoginAccess                                                                                                                                                                                                                                                                                                                                                                                                                         , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 47           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 27           ,
8196174, https://identgouv.fr/ameli.php                                                                                                                                                                                                                                                                                                                                                                                                                                          , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 30           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 12           ,
8196168, https://impressive.capetown/wp-includes/SimplePie/Content/NuvlfPBPZoV2FBiQfzYnQ2BaC7soaGDl2FbqsV3q9uC.html                                                                                                                                                                                                                                                                                                                                                              , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 106          , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 19           ,
8196167, https://sssssssdsdsd.page.link/V9Hh                                                                                                                                                                                                                                                                                                                                                                                                                                     , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 35           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 22           ,
8196164, https://psendung.com/                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 21           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 12           ,
8196148, https://is.gd/KlUS3a                                                                                                                                                                                                                                                                                                                                                                                                                                                    , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 20           , -1            , 1                 , -1             , 1                       , 1            , 0             , -1             , -1  , 5            ,
8196145, https://t.co/uxeKPXDnPo                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 23           , -1            , 1                 , -1             , 1                       , 1            , 0             , -1             , -1  , 4            ,
8196136, https://is.gd/emecTG                                                                                                                                                                                                                                                                                                                                                                                                                                                    , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 20           , -1            , 1                 , -1             , 1                       , 1            , 0             , -1             , -1  , 5            ,
8196125, https://t.co/nV2BcswJuC                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 23           , -1            , 1                 , -1             , 1                       , 1            , 0             , -1             , -1  , 4            ,
8196122, https://newassets.hcaptcha.com/captcha/v1/180e565/static/hcaptcha.html                                                                                                                                                                                                                                                                                                                                                                                                  , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 70           , -1            , -1                , -1             , 1                       , 1            , 1             , 1              , -1  , 22           ,
8196116, https://easyteach.co.il/ionos.de/                                                                                                                                                                                                                                                                                                                                                                                                                                       , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 33           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 15           ,
8196113, https://www.demolizioni-soscar-milano.it/Furdanir/Lucationi/fibr.php                                                                                                                                                                                                                                                                                                                                                                                                    , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 68           , -1            , -1                , -1             , 1                       , 1            , 1             , -1             , -1  , 32           ,
8196108, https://compartamosredes.com/index?md=...                                                                                                                                                                                                                                                                                                                                                                                                                               , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 41           , -1            , -1                , -1             , 1                       , 1            , 0             , -1             , -1  , 20           ,
