PhishID, PhishURL                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Result                                                                                                                                                                                                                                                                                                                                                                                                                            , having_IP_Address, URL_Length, Shortening_Service, having_At_Symbol, double_slash_redirecting, Prefix_Suffix, having_Sub_Domain, SSLfinal_State, Domain_registration_length, Favicon, port, HTTPS_token, Request_URL, URL_of_Anchor, Links_in_tags, SFH, Submitting_to_email, Abnormal_URL, Redirect, on_mouseover, RightClick, popUpWindow, Iframe, age_of_domain, DNSRecord, web_traffic, Page_Rank, Google_Index, Links_pointing_to_page, Statistical_report
8196283, https://www.rmcsport1.sport.blog/                                                                                                                                                                                                                                                                                                                                                                                                                                       , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 33        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , 1      , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196282, https://sfr-collection.life/                                                                                                                                                                                                                                                                                                                                                                                                                                            , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                , 28        , 0                 , 0               , 1                       , 1            , 1                , 1             , -1                        , 1      , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196281, https://www.sfr-activation.com/                                                                                                                                                                                                                                                                                                                                                                                                                                         , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                , 31        , 0                 , 0               , 1                       , 1            , 1                , 1             , -1                        , 1      , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196279, http://5axta.sa.com                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 19        , 0                 , 0               , 1                       , 0            , 1                , 0             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196270, https://abnehmtricks-abnehmtipps.de/api/                                                                                                                                                                                                                                                                                                                                                                                                                                , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                , 40        , 0                 , 0               , 1                       , 1            , 1                , 1             , -1                        , 1      , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196269, https://appurl.io/t_Fau0f1qF                                                                                                                                                                                                                                                                                                                                                                                                                                            , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 28        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196266, https://royal-uk-package.co.uk/                                                                                                                                                                                                                                                                                                                                                                                                                                         , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                , 31        , 0                 , 0               , 1                       , 1            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196260, https://votrevocalemessagerie.hubside.fr/                                                                                                                                                                                                                                                                                                                                                                                                                               , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 41        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , 1      , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196254, https://urlz.fr/msxI                                                                                                                                                                                                                                                                                                                                                                                                                                                    , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 0                , 20        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196234, http://url.dyhs.kr/VBQo                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 23        , 0                 , 0               , 1                       , 0            , 1                , 0             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196227, https://url.dyhs.kr/VBQo                                                                                                                                                                                                                                                                                                                                                                                                                                                , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 24        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196220, https://segurosmetlifemexico.com.mx/                                                                                                                                                                                                                                                                                                                                                                                                                                    , -1                                                                                                                                                                                                                                                                                                                                                                                                                                , 0                , 36        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196177, https://assure.supportvigilance.fr/PortailAS/appmanager/PortailAS/assure                                                                                                                                                                                                                                                                                                                                                                                                , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 72        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196176, https://identgouv.fr/impots.php                                                                                                                                                                                                                                                                                                                                                                                                                                         , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 31        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196175, https://cfspart.vigilancesupport.fr/LoginAccess                                                                                                                                                                                                                                                                                                                                                                                                                         , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 47        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196174, https://identgouv.fr/ameli.php                                                                                                                                                                                                                                                                                                                                                                                                                                          , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 30        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196168, https://impressive.capetown/wp-includes/SimplePie/Content/NuvlfPBPZoV2FBiQfzYnQ2BaC7soaGDl2FbqsV3q9uC.html                                                                                                                                                                                                                                                                                                                                                              , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 106       , 0                 , 0               , 1                       , 1            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196167, https://sssssssdsdsd.page.link/V9Hh                                                                                                                                                                                                                                                                                                                                                                                                                                     , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 35        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
8196164, https://psendung.com/                                                                                                                                                                                                                                                                                                                                                                                                                                                   , 1                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0                , 21        , 0                 , 0               , 1                       , 0            , 1                , 1             , -1                        , -1     , 1   , 0          , 1          , 1            ,              ,    ,                    ,             ,         ,             ,           ,            ,       ,              ,          ,            ,          ,             ,                       , 
